obs,time,elapsed,date,hhmmss,averaging,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt. Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,F:MN,F:SLP,F:SD,F:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
2,1652233275,50.5,20220511 09:41:14,9:41:14,0,1652233275,0.001788282,1.788281657,8.162426058,399.967,261.3960956,26.31240545,40.26109819,0.102707708,3.020594156,0.100806285,0.063171831,165.409152,27.6573655,26.8326,3.544120694,49.97937921,1.805869303,3.613228759,1.738251391,-78.86322109,53.54385428,3.825421776,143.915207,8.168581626,1.788629734,8.162426058,410.6009376,407.2841636,-0.000912588,66.83704872,1.788281657,17.23754814,17.93991758,-8.63E-07,86.59541668,0,0,1,0,53151.33687,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,843.1008,8.162426058,#DIV/0!,0.009681436,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1000.12,843.1008,0.84299964,0.165389305,2,0.5,0: Broadleaf,2,TRUE,1652233275,399.967,403.52,17.9401,17.2376,395.347,17.7251,500.083,100.561,0.10005,27.1614,26.8326,999.9,0,0,10001.2,0,3.55659,1000.12,0.900008,0.0999919,0,1.5302,0,5150.6,9658.08,40.75,43.562,42.25,42.375,40.812,900.12,100,0,1652233275,0,1.774088462,-0.162129892,-3.137435889,5150.251923,15,1652233242,9:40:42,1652233241,1652233242,1,-0.285,-0.028,4.62,0.189,403,17,0.4,0.09,-3.801383415,2.30941338,0.248391894,0,1.792036364,-0.106366116,0.201003126,1,0.686878439,0.218716411,0.024213103,0,1,3,1月3日,100,100,4.62,0.215,4.445291379,0.000676004,-7.65E-07,4.25E-10,0.065174227,-0.023951514,0.002092542,-1.49E-05,2,2268,1,30,0.6,0.5,18,504.393,456.772,25.0001,28.1275,30.0002,28.1003,27.9782,19.2945,23.8901,68.9329,25,403.584,17.2036,87.6449,101.338
3,1652233277,52.5,20220511 09:41:16,9:41:16,0,1652233277,0.001788415,1.788415061,8.255544537,399.955,259.9901594,26.17063571,40.2595107,0.1027538,3.019138087,0.100849788,0.063199247,165.3704097,27.65703297,26.8293,3.543432982,49.97867322,1.805812014,3.613165172,1.737620968,-78.8691042,54.00634692,3.860255794,144.3679083,8.207161622,1.784696699,8.255544537,410.6122591,407.2581455,-0.000878169,66.83704872,1.788415061,17.2374873,17.93975385,-9.31E-07,86.59541668,0,0,1,0,53106.51122,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,842.896701,8.255544537,#DIV/0!,0.009794254,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,999.877,842.896701,0.84300039,0.165390753,2,0.5,0: Broadleaf,2,TRUE,1652233277,399.955,403.522,17.9397,17.2389,395.336,17.7247,500.194,100.56,0.100101,27.1611,26.8293,999.9,0,0,9992.5,0,3.53881,999.877,0.899983,0.100017,0,1.7079,0,5148.93,9655.63,40.75,43.562,42.25,42.375,40.812,899.87,100,0,1652233277,0,1.754624,-0.522092283,-2.358461502,5150.1136,15,1652233242,9:40:42,1652233241,1652233242,1,-0.285,-0.028,4.62,0.189,403,17,0.4,0.09,-3.75987561,2.32178007,0.248015916,0,1.768674286,-0.310130724,0.203714574,1,0.692273585,0.166232425,0.02053031,0,1,3,1月3日,100,100,4.619,0.215,4.445291379,0.000676004,-7.65E-07,4.25E-10,0.065174227,-0.023951514,0.002092542,-1.49E-05,2,2268,1,30,0.6,0.6,18,504.323,456.916,25,28.1281,30.0003,28.1012,27.9794,19.2949,23.8901,68.9329,25,403.563,17.2036,87.6451,101.338
4,1652233279,54.5,20220511 09:41:18,9:41:18,0,1652233279,0.001789297,1.78929698,8.216066421,399.965,260.7720084,26.2495993,40.26092006,0.102876979,3.017498316,0.100967428,0.063273256,165.182973,27.65658599,26.8241,3.542349551,49.97852845,1.805870344,3.613292347,1.736479207,-78.90799682,54.92055504,3.927644352,145.1231756,8.223335818,1.783294205,8.216066421,410.6134,407.2702788,0.000106647,66.83704872,1.78929698,17.23748749,17.94004835,-5.55E-07,86.59541668,0,0,1,0,53055.94159,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,841.9461,8.216066421,#DIV/0!,0.009758423,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,998.75,841.9461,0.84299985,0.16538971,2,0.5,0: Broadleaf,2,TRUE,1652233279,399.965,403.538,17.9401,17.2399,395.346,17.7251,500.229,100.561,0.100108,27.1617,26.8241,999.9,0,0,9982.5,0,3.51145,998.75,0.900002,0.0999982,0,1.8755,0,5142.49,9644.8,40.75,43.562,42.25,42.375,40.812,898.88,99.87,0,1652233279,0,1.767348,-0.562938439,-15.55769224,5149.4836,15,1652233242,9:40:42,1652233241,1652233242,1,-0.285,-0.028,4.62,0.189,403,17,0.4,0.09,-3.704268293,1.883904669,0.217145451,0,1.763878788,-0.092781712,0.198794393,1,0.696907805,0.105466997,0.016046081,0,1,3,1月3日,100,100,4.619,0.215,4.445291379,0.000676004,-7.65E-07,4.25E-10,0.065174227,-0.023951514,0.002092542,-1.49E-05,2,2268,1,30,0.6,0.6,18,504.392,456.993,25,28.1293,30.0004,28.1021,27.9806,19.2954,23.8901,68.9329,25,403.589,17.2036,87.6458,101.338
5,1652233281,56.5,20220511 09:41:20,9:41:20,0,1652233281,0.001784954,1.784954482,8.28231432,399.953,259.4764827,26.11920555,40.25973573,0.10267163,3.015218419,0.100768209,0.063148207,165.0460384,27.65524906,26.8204,3.541578824,49.9847004,1.805881468,3.612868445,1.735697355,-78.71649265,55.15540532,3.947309691,145.4322607,8.141929499,1.780220691,8.28231432,410.6145693,407.2464545,-0.000443095,66.83704872,1.784954482,17.23873383,17.93979341,-5.69E-09,86.59541668,0,0,1,0,52986.15689,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,841.247343,8.28231432,#DIV/0!,0.009845278,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,997.921,841.247343,0.84299994,0.165389884,2,0.5,0: Broadleaf,2,TRUE,1652233281,399.953,403.494,17.9402,17.241,395.334,17.7251,500.081,100.561,0.100167,27.1597,26.8204,999.9,0,0,9968.75,0,3.49777,997.921,0.899998,0.100002,0,1.4217,0,5137.53,9636.78,40.75,43.562,42.25,42.375,40.812,898.13,99.79,0,1652233281,0,1.718238462,-0.742864941,-34.51931617,5148.206538,15,1652233242,9:40:42,1652233241,1652233242,1,-0.285,-0.028,4.62,0.189,403,17,0.4,0.09,-3.647914878,1.243244321,0.16157283,0,1.766139394,-0.297958697,0.193898102,1,0.700841098,0.040589875,0.010424493,1,2,3,2月3日,100,100,4.619,0.2151,4.445291379,0.000676004,-7.65E-07,4.25E-10,0.065174227,-0.023951514,0.002092542,-1.49E-05,2,2268,1,30,0.7,0.6,18,504.495,456.984,25.0001,28.1302,30.0004,28.1033,27.9816,19.2971,23.8901,68.9329,25,403.544,17.2036,87.6461,101.337
6,1652233283,58.5,20220511 09:41:22,9:41:22,0,1652233283,0.001783745,1.783744677,8.213520841,399.936,260.3339876,26.20518353,40.25750297,0.102511512,3.021933488,0.100618097,0.063053514,164.7658924,27.65292226,26.8268,3.542912065,49.98349565,1.805837942,3.612868445,1.737074123,-78.66314024,54.23556139,3.872977991,144.2112915,8.231022101,1.77751205,8.213520841,410.5744135,407.2348182,-0.000508718,66.83704872,1.783744677,17.23968898,17.94023626,5.02E-08,86.59541668,0,0,1,0,53192.90059,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,839.822343,8.213520841,#DIV/0!,0.009780069,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,996.231,839.822343,0.842999609,0.165389244,2,0.5,0: Broadleaf,2,TRUE,1652233283,399.936,403.512,17.94,17.2419,395.317,17.7249,500.107,100.56,0.099863,27.1597,26.8268,999.9,0,0,10009.4,0,3.47041,996.231,0.900015,0.0999851,0,1.5641,0,5127.73,9620.5,40.75,43.562,42.25,42.375,40.812,896.62,99.61,0,1652233283,0,1.70176,-0.981946146,-80.31076922,5145.6328,15,1652233242,9:40:42,1652233241,1652233242,1,-0.285,-0.028,4.62,0.189,403,17,0.4,0.09,-3.601557805,0.68888885,0.105126836,0,1.73512,-0.602432877,0.211805303,1,0.703376707,-0.01421308,0.005065188,1,2,3,2月3日,100,100,4.619,0.2151,4.445291379,0.000676004,-7.65E-07,4.25E-10,0.065174227,-0.023951514,0.002092542,-1.49E-05,2,2268,1,30,0.7,0.7,18,504.505,457.007,25.0002,28.1311,30.0003,28.1045,27.9823,19.2972,23.8901,68.9329,25,403.531,17.2036,87.6463,101.337
7,1652233285,60.5,20220511 09:41:24,9:41:24,0,1652233285,0.001782164,1.782164189,8.170398217,399.94,260.8782589,26.25995313,40.25788005,0.102402975,3.022957882,0.100514155,0.062988148,164.4939499,27.65220794,26.8281,3.543182934,49.98226188,1.805856928,3.612995611,1.737326006,-78.59344073,54.13986492,3.864870862,143.905245,8.395215778,1.776760343,8.170398217,410.578419,407.253097,0.000191922,66.83704872,1.782164189,17.24066703,17.94048901,-2.92E-08,86.59541668,0,0,1,0,53224.38581,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,838.434915,8.170398217,#DIV/0!,0.009744821,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,994.585,838.434915,0.842999759,0.165389534,2,0.5,0: Broadleaf,2,TRUE,1652233285,399.94,403.581,17.9402,17.2425,395.321,17.7252,500.182,100.56,0.0997991,27.1603,26.8281,999.9,0,0,10015.6,0,3.44716,994.585,0.900008,0.0999924,0,1.7033,0,5118.01,9604.58,40.75,43.562,42.25,42.375,40.812,895.13,99.45,0,1652233285,0,1.709864,-0.259869222,-133.9392307,5141.18,15,1652233242,9:40:42,1652233241,1652233242,1,-0.285,-0.028,4.62,0.189,403,17,0.4,0.09,-3.57474122,0.257885436,0.063962698,1,1.739424242,-0.548853461,0.213031511,1,0.703726049,-0.03975347,0.004161092,1,3,3,3月3日,100,100,4.619,0.215,4.445291379,0.000676004,-7.65E-07,4.25E-10,0.065174227,-0.023951514,0.002092542,-1.49E-05,2,2268,1,30,0.7,0.7,18,504.376,457.017,25.0002,28.1323,30.0004,28.1057,27.9835,19.2965,23.8901,68.9329,25,403.583,17.2036,87.6464,101.337
8,1652233287,62.5,20220511 09:41:26,9:41:26,0,1652233287,0.001779114,1.779113885,8.286601013,399.94,258.8970537,26.06058053,40.2579652,0.102272347,3.01851719,0.100385578,0.062907606,164.312542,27.65171467,26.8247,3.542474547,49.9858424,1.805890945,3.612804863,1.736583602,-78.45892235,54.4671698,3.893872581,144.2146621,8.477170275,1.774708569,8.286601013,410.6356178,407.2616121,0.000356936,66.83704872,1.779113885,17.24171876,17.94044835,8.47E-08,86.59541668,0,0,1,0,53087.69194,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,837.507885,8.286601013,#DIV/0!,0.009894356,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,993.485,837.507885,0.84300003,0.165390058,2,0.5,0: Broadleaf,2,TRUE,1652233287,399.94,403.614,17.9405,17.2435,395.32,17.7255,500.106,100.56,0.100012,27.1594,26.8247,999.9,0,0,9988.75,0,3.44716,993.485,0.900003,0.0999972,0,1.6097,0,5111.33,9593.96,40.75,43.562,42.25,42.437,40.812,894.14,99.35,0,1652233287,0,1.691276923,0.099336758,-171.3158972,5137.133462,15,1652233242,9:40:42,1652233241,1652233242,1,-0.285,-0.028,4.62,0.189,403,17,0.4,0.09,-3.565959024,-0.143000697,0.04486013,1,1.724045455,-0.515191981,0.201642733,1,0.702732537,-0.041716244,0.00424019,1,3,3,3月3日,100,100,4.62,0.215,4.445291379,0.000676004,-7.65E-07,4.25E-10,0.065174227,-0.023951514,0.002092542,-1.49E-05,2,2268,1,30,0.8,0.7,18,504.427,457.021,25.0002,28.1335,30.0002,28.1063,27.9841,19.2984,23.8901,68.9329,25,403.737,17.2036,87.646,101.337
9,1652233289,64.5,20220511 09:41:28,9:41:28,0,1652233289,0.00177697,1.776969721,8.43016799,399.966,256.5553759,25.82486077,40.26057232,0.102177447,3.020577706,0.100295403,0.062850834,163.902069,27.64929094,26.8223,3.541974584,49.98754551,1.805920693,3.612741283,1.736053891,-78.36436471,54.84632576,3.918250927,144.302281,8.402284247,1.772537448,8.43016799,410.6959234,407.2638909,0.00023435,66.83704872,1.776969721,17.24242047,17.94036044,1.74E-07,86.59541668,0,0,1,0,53151.21559,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,835.4133,8.43016799,#DIV/0!,0.010091015,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,991,835.4133,0.843000303,0.165390584,2,0.5,0: Broadleaf,2,TRUE,1652233289,399.966,403.61,17.9408,17.2446,395.347,17.7258,500.068,100.56,0.0999869,27.1591,26.8223,999.9,0,0,10001.2,0,3.44716,991,0.899992,0.100008,0,1.4988,0,5097.39,9569.92,40.75,43.562,42.25,42.375,40.812,891.89,99.11,0,1652233289,0,1.671532,-0.174692298,-230.782308,5130.7544,15,1652233242,9:40:42,1652233241,1652233242,1,-0.285,-0.028,4.62,0.189,403,17,0.4,0.09,-3.569836829,-0.426553171,0.051302827,1,1.711928571,-0.408321722,0.19127032,1,0.701449659,-0.03680007,0.003781104,1,3,3,3月3日,100,100,4.619,0.215,4.445291379,0.000676004,-7.65E-07,4.25E-10,0.065174227,-0.023951514,0.002092542,-1.49E-05,2,2268,1,30,0.8,0.8,18,504.483,456.98,25.0002,28.1348,30.0001,28.1075,27.9853,19.2966,23.8901,68.9329,25,403.535,17.2036,87.6457,101.337
10,1652233291,66.5,20220511 09:41:30,9:41:30,0,1652233291,0.001776821,1.776820919,8.438104636,399.99,256.5390851,25.82376381,40.26383458,0.102239176,3.020610606,0.1003549,0.062888215,163.5817748,27.64608853,26.8174,3.540954017,49.99465259,1.806029121,3.612444587,1.734924896,-78.35780252,55.41688821,3.958844409,144.5997049,8.287347768,1.77254687,8.438104636,410.706353,407.2723152,0.000192526,66.83704872,1.776820919,17.24340443,17.94108352,-8.02E-08,86.59541668,0,0,1,0,53152.52061,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,833.779686,8.438104636,#DIV/0!,0.010120305,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,989.062,833.779686,0.843000425,0.16539082,2,0.5,0: Broadleaf,2,TRUE,1652233291,399.99,403.587,17.9415,17.2455,395.37,17.7264,500.214,100.562,0.100103,27.1577,26.8174,999.9,0,0,10001.2,0,3.44716,989.062,0.899982,0.100018,0,2.0089,0,5085.97,9551.19,40.75,43.562,42.25,42.375,40.812,890.14,98.92,0,1652233291,0,1.689644,-0.101015376,-267.4353846,5121.5152,15,1652233242,9:40:42,1652233241,1652233242,1,-0.285,-0.028,4.62,0.189,403,17,0.4,0.09,-3.58147,-0.484657631,0.054116773,1,1.690360606,-0.386000338,0.185008334,1,0.700192439,-0.030363721,0.003093107,1,3,3,3月3日,100,100,4.62,0.2151,4.445291379,0.000676004,-7.65E-07,4.25E-10,0.065174227,-0.023951514,0.002092542,-1.49E-05,2,2268,1,30,0.8,0.8,18,504.538,456.939,25.0003,28.1354,30.0002,28.1084,27.9865,19.2968,23.8901,68.9329,25,403.504,17.2036,87.6462,101.337
11,1652233293,68.5,20220511 09:41:32,9:41:32,0,1652233293,0.001779708,1.779708168,8.276839002,399.997,259.5825973,26.13014417,40.26456081,0.102632975,3.018136034,0.100732775,0.063125779,163.4364712,27.6425994,26.8006,3.53745688,50.00616325,1.806201215,3.611957203,1.731255665,-78.4851302,57.73083844,4.127134573,146.809314,8.234400098,1.772461348,8.276839002,410.6786125,407.3079455,0.000576242,66.83704872,1.779708168,17.2441002,17.94294725,-1.77E-07,86.59541668,0,0,1,0,53076.70698,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,833.042514,8.276839002,#DIV/0!,0.009935674,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,988.188,833.042514,0.84300003,0.165390059,2,0.5,0: Broadleaf,2,TRUE,1652233293,399.997,403.573,17.9432,17.2472,395.378,17.7281,500.189,100.562,0.100157,27.1554,26.8006,999.9,0,0,9986.25,0,3.44716,988.188,0.900003,0.0999965,0,1.718,0,5081.44,9542.8,40.75,43.562,42.25,42.375,40.812,889.37,98.82,0,1652233293,0,1.678538462,-0.033511108,-274.2899141,5115.098462,15,1652233242,9:40:42,1652233241,1652233242,1,-0.285,-0.028,4.62,0.189,403,17,0.4,0.09,-3.592257805,-0.365513937,0.047067418,1,1.691366667,0.000103707,0.171715831,1,0.699167146,-0.025443972,0.002563798,1,3,3,3月3日,100,100,4.619,0.2151,4.445291379,0.000676004,-7.65E-07,4.25E-10,0.065174227,-0.023951514,0.002092542,-1.49E-05,2,2268,1,30,0.9,0.8,18,504.638,456.982,25.0003,28.1365,30.0003,28.1093,27.9877,19.2969,23.8901,68.9329,25,403.519,17.2036,87.6464,101.337
